statefips,countyfips,target
2,13,2.43
2,16,3.59
2,20,2.77
2,50,3.86
2,60,2.5
2,68,2.34
2,70,3.56
2,90,2.69
2,100,2.12
2,105,2.26
2,110,2.62
2,122,2.57
2,130,2.55
2,150,2.98
2,158,4.65
2,164,2.9
2,170,3.03
2,180,3.26
2,185,3.28
2,188,3.97
2,195,2.4
2,198,2.77
2,220,2.49
2,230,2.15
2,240,3.11
2,261,3.1
2,275,2.08
2,282,2.32
2,290,2.81
1,1,2.68
1,3,2.6
1,5,2.61
1,7,2.95
1,9,2.74
1,11,2.73
1,13,2.49
1,15,2.52
1,17,2.44
1,19,2.28
1,21,2.68
1,23,2.37
1,25,2.57
1,27,2.45
1,29,2.57
1,31,2.62
1,33,2.43
1,35,2.48
1,37,2.42
1,39,2.49
1,41,2.56
1,43,2.55
1,45,2.56
1,47,2.53
1,49,2.81
1,51,2.65
1,53,2.6
1,55,2.56
1,57,2.36
1,59,2.62
1,61,2.47
1,63,2.7
1,65,2.53
1,67,2.47
1,69,2.62
1,71,2.56
1,73,2.47
1,75,2.27
1,77,2.35
1,79,2.46
1,81,2.54
1,83,2.64
1,85,2.49
1,87,2.24
1,89,2.46
1,91,2.42
1,93,2.34
1,95,2.72
1,97,2.62
1,99,2.62
1,101,2.47
1,103,2.55
1,105,2.7
1,107,2.51
1,109,2.44
1,111,2.49
1,113,2.59
1,115,2.62
1,117,2.66
1,119,2.61
1,121,2.49
1,123,2.48
1,125,2.75
1,127,2.54
1,129,2.75
1,131,2.86
1,133,2.53
5,1,2.39
5,3,2.52
5,5,2.23
5,7,2.75
5,9,2.45
5,11,2.39
5,13,2.4
5,15,2.49
5,17,2.36
5,19,2.28
5,21,2.31
5,23,2.5
5,25,2.53
5,27,2.37
5,29,2.49
5,31,2.52
5,33,2.58
5,35,2.67
5,37,2.49
5,39,2.26
5,41,2.33
5,43,2.43
5,45,2.65
5,47,2.58
5,49,2.27
5,51,2.35
5,53,2.61
5,55,2.56
5,57,2.81
5,59,2.59
5,61,2.65
5,63,2.52
5,65,2.28
5,67,2.25
5,69,2.41
5,71,2.5
5,73,2.52
5,75,2.45
5,77,2.34
5,79,2.43
5,81,2.39
5,83,2.48
5,85,2.7
5,87,2.46
5,89,2.43
5,91,2.5
5,93,2.57
5,95,2.27
5,97,2.33
5,99,2.48
5,101,2.42
5,103,2.34
5,105,2.62
5,107,2.48
5,109,2.5
5,111,2.57
5,113,2.56
5,115,2.62
5,117,2.16
5,119,2.49
5,121,2.36
5,123,2.51
5,125,2.66
5,127,2.66
5,129,2.48
5,131,2.53
5,133,2.81
5,135,2.37
5,137,2.4
5,139,2.43
5,141,2.44
5,143,2.55
5,145,2.55
5,147,2.36
5,149,2.8
4,1,3.67
4,3,2.42
4,5,2.7
4,7,2.5
4,9,3.02
4,11,2.78
4,12,2.14
4,13,2.75
4,15,2.43
4,17,3.08
4,19,2.49
4,21,2.87
4,23,3.04
4,25,2.3
4,27,2.77
6,1,2.78
6,3,3.06
6,5,2.36
6,7,2.55
6,9,2.45
6,11,3.04
6,13,2.82
6,15,2.55
6,17,2.69
6,19,3.17
6,21,2.92
6,23,2.47
6,25,3.61
6,27,2.23
6,29,3.21
6,31,3.19
6,33,2.34
6,35,2.24
6,37,3.02
6,39,3.35
6,41,2.41
6,43,2.29
6,45,2.51
6,47,3.32
6,49,2.32
6,51,2.82
6,53,3.26
6,55,2.74
6,57,2.38
6,59,3.04
6,61,2.67
6,63,2.26
6,65,3.24
6,67,2.76
6,69,3.33
6,71,3.33
6,73,2.86
6,75,2.32
6,77,3.16
6,79,2.51
6,81,2.85
6,83,2.92
6,85,2.95
6,87,2.72
6,89,2.54
6,91,2.38
6,93,2.26
6,95,2.89
6,97,2.59
6,99,3.08
6,101,2.95
6,103,2.63
6,105,2.38
6,107,3.36
6,109,2.28
6,111,3.08
6,113,2.77
6,115,2.87
8,1,2.98
8,3,2.56
8,5,2.63
8,7,2.25
8,9,2.3
8,11,2.19
8,13,2.45
8,14,2.57
8,15,2.21
8,17,2.63
8,19,2.13
8,21,2.78
8,23,2.46
8,25,3.78
8,27,2.15
8,29,2.41
8,31,2.3
8,33,2.64
8,35,2.76
8,37,2.94
8,39,2.82
8,41,2.6
8,43,2.21
8,45,2.72
8,47,2.14
8,49,2.69
8,51,2.34
8,53,2.18
8,55,2.08
8,57,2.15
8,59,2.44
8,61,2.45
8,63,2.35
8,65,2.38
8,67,2.38
8,69,2.47
8,71,2.36
8,73,2.24
8,75,2.61
8,77,2.43
8,79,1.91
8,81,2.6
8,83,2.44
8,85,2.4
8,87,2.67
8,89,2.42
8,91,2.31
8,93,2.2
8,95,2.52
8,97,2.28
8,99,2.44
8,101,2.49
8,103,2.48
8,105,2.49
8,107,2.46
8,109,2.39
8,111,2.15
8,113,2.31
8,115,2.44
8,117,2.82
8,119,2.42
8,121,2.3
8,123,2.8
8,125,2.6
9,1,2.76
9,3,2.51
9,5,2.46
9,7,2.4
9,9,2.56
9,11,2.45
9,13,2.49
9,15,2.53
11,1,2.22
10,1,2.71
10,3,2.63
10,5,2.52
12,1,2.46
12,3,3
12,5,2.54
12,7,2.72
12,9,2.46
12,11,2.73
12,13,2.64
12,15,2.26
12,17,2.25
12,19,2.84
12,21,2.59
12,23,2.66
12,27,2.78
12,29,2.41
12,31,2.58
12,33,2.53
12,35,2.71
12,37,2.24
12,39,2.53
12,41,2.54
12,43,3.04
12,45,2.52
12,47,2.35
12,49,3.33
12,51,3.18
12,53,2.45
12,55,2.39
12,57,2.64
12,59,2.6
12,61,2.44
12,63,2.52
12,65,2.17
12,67,2.81
12,69,2.57
12,71,2.59
12,73,2.43
12,75,2.53
12,77,2.77
12,79,2.52
12,81,2.52
12,83,2.48
12,85,2.39
12,86,3.08
12,87,2.55
12,89,2.66
12,91,2.5
12,93,2.77
12,95,2.75
12,97,3.23
12,99,2.54
12,101,2.53
12,103,2.27
12,105,2.77
12,107,2.57
12,109,2.62
12,111,2.64
12,113,2.65
12,115,2.21
12,117,2.85
12,119,2.05
12,121,2.69
12,123,2.44
12,125,2.58
12,127,2.46
12,129,2.57
12,131,2.45
12,133,2.66
13,1,2.63
13,3,2.98
13,5,2.71
13,7,2.55
13,9,2.62
13,11,2.8
13,13,3.05
13,15,2.81
13,17,2.68
13,19,2.71
13,21,2.59
13,23,2.71
13,25,2.79
13,27,2.37
13,29,2.89
13,31,2.54
13,33,2.81
13,35,2.7
13,37,2.13
13,39,2.68
13,43,2.75
13,45,2.72
13,47,2.71
13,49,3.32
13,51,2.55
13,53,3.24
13,55,2.49
13,57,2.84
13,59,2.55
13,61,2.57
13,63,2.97
13,65,2.49
13,67,2.64
13,69,2.73
13,71,2.86
13,73,2.98
13,75,2.74
13,77,2.73
13,79,2.72
13,81,2.64
13,83,2.47
13,85,2.74
13,87,2.46
13,89,2.63
13,91,2.35
13,93,2.52
13,95,2.52
13,97,2.87
13,99,2.62
13,101,2.86
13,103,2.95
13,105,2.49
13,107,2.68
13,109,2.6
13,111,2.48
13,113,2.8
13,115,2.64
13,117,3.14
13,119,2.54
13,121,2.5
13,123,2.58
13,125,2.67
13,127,2.49
13,129,2.83
13,131,2.7
13,133,2.4
13,135,3.12
13,137,2.74
13,139,3
13,141,2.49
13,143,2.63
13,145,2.79
13,147,2.48
13,149,2.65
13,151,3
13,153,2.72
13,155,2.71
13,157,2.88
13,159,2.61
13,161,2.75
13,163,2.61
13,165,2.53
13,167,2.8
13,169,2.76
13,171,2.62
13,173,2.72
13,175,2.65
13,177,2.76
13,179,2.72
13,181,2.23
13,183,3.27
13,185,2.78
13,187,2.66
13,189,2.61
13,191,2.63
13,193,2.62
13,195,2.75
13,197,2.83
13,199,2.65
13,201,2.42
13,205,2.55
13,207,2.68
13,209,2.62
13,211,2.76
13,213,2.75
13,215,2.61
13,217,2.92
13,219,2.88
13,221,2.63
13,223,2.99
13,225,2.5
13,227,2.61
13,229,2.72
13,231,2.92
13,233,2.78
13,235,2.55
13,237,2.49
13,239,2.29
13,241,2.34
13,243,2.54
13,245,2.68
13,247,2.91
13,249,2.7
13,251,2.61
13,253,2.62
13,255,2.76
13,257,2.7
13,259,2.48
13,261,2.58
13,263,2.43
13,265,2.42
13,267,2.46
13,269,2.39
13,271,2.37
13,273,2.68
13,275,2.53
13,277,2.76
13,279,2.5
13,281,2.34
13,283,2.38
13,285,2.73
13,287,2.63
13,289,2.79
13,291,2.54
13,293,2.55
13,295,2.59
13,297,2.88
13,299,2.39
13,301,2.58
13,303,2.64
13,305,2.77
13,307,2.56
13,309,2.16
13,311,2.42
13,313,2.96
13,315,2.52
13,317,2.45
13,319,2.8
13,321,2.65
15,1,2.9
15,3,3.06
15,5,1.37
15,7,3.07
15,9,2.96
19,1,2.25
19,3,2.18
19,5,2.26
19,7,2.28
19,9,2.15
19,11,2.51
19,13,2.42
19,15,2.37
19,17,2.45
19,19,2.5
19,21,2.55
19,23,2.37
19,25,2.19
19,27,2.36
19,29,2.18
19,31,2.37
19,33,2.17
19,35,2.14
19,37,2.27
19,39,2.43
19,41,2.27
19,43,2.3
19,45,2.36
19,47,2.64
19,49,2.69
19,51,2.73
19,53,2.38
19,55,2.48
19,57,2.36
19,59,2.14
19,61,2.41
19,63,2.23
19,65,2.31
19,67,2.28
19,69,2.42
19,71,2.36
19,73,2.3
19,75,2.37
19,77,2.34
19,79,2.36
19,81,2.33
19,83,2.37
19,85,2.37
19,87,2.43
19,89,2.39
19,91,2.28
19,93,2.24
19,95,2.34
19,97,2.29
19,99,2.41
19,101,2.24
19,103,2.37
19,105,2.34
19,107,2.33
19,109,2.23
19,111,2.4
19,113,2.42
19,115,2.58
19,117,2.34
19,119,2.57
19,121,2.48
19,123,2.41
19,125,2.43
19,127,2.6
19,129,2.63
19,131,2.41
19,133,2.19
19,135,2.37
19,137,2.22
19,139,2.59
19,141,2.28
19,143,2.28
19,145,2.34
19,147,2.23
19,149,2.45
19,151,2.18
19,153,2.5
19,155,2.48
19,157,2.31
19,159,2.4
19,161,2.25
19,163,2.46
19,165,2.32
19,167,2.73
19,169,2.35
19,171,2.51
19,173,2.23
19,175,2.3
19,177,2.49
19,179,2.38
19,181,2.54
19,183,2.43
19,185,2.41
19,187,2.27
19,189,2.2
19,191,2.24
19,193,2.58
19,195,2.35
19,197,2.31
16,1,2.61
16,3,2.39
16,5,2.67
16,7,2.51
16,9,2.45
16,11,3.07
16,13,2.35
16,15,2.29
16,17,2.36
16,19,2.9
16,21,2.55
16,23,2.59
16,25,2.42
16,27,2.98
16,29,2.57
16,31,2.96
16,33,3.22
16,35,2.05
16,37,2.33
16,39,2.6
16,41,3.03
16,43,2.75
16,45,2.63
16,47,2.84
16,49,2.38
16,51,3.3
16,53,2.95
16,55,2.54
16,57,2.33
16,59,2.03
16,61,2.31
16,63,3.21
16,65,3.6
16,67,2.83
16,69,2.4
16,71,2.66
16,73,2.85
16,75,2.77
16,77,2.99
16,79,2.16
16,81,2.85
16,83,2.71
16,85,2.99
16,87,2.59
17,1,2.44
17,3,2.65
17,5,2.57
17,7,2.95
17,9,2.43
17,11,2.4
17,13,2.37
17,15,2.22
17,17,2.51
17,19,2.38
17,21,2.31
17,23,2.4
17,25,2.39
17,27,2.59
17,29,2.31
17,31,2.65
17,33,2.37
17,35,2.51
17,37,2.65
17,39,2.36
17,41,2.58
17,43,2.72
17,45,2.29
17,47,2.37
17,49,2.54
17,51,2.63
17,53,2.39
17,55,2.41
17,57,2.37
17,59,2.23
17,61,2.43
17,63,2.7
17,65,2.36
17,67,2.35
17,69,2.49
17,71,2.26
17,73,2.44
17,75,2.42
17,77,2.36
17,79,2.53
17,81,2.39
17,83,2.45
17,85,2.33
17,87,2.48
17,89,3.01
17,91,2.61
17,93,3.11
17,95,2.25
17,97,2.83
17,99,2.48
17,101,2.22
17,103,2.37
17,105,2.32
17,107,2.17
17,109,2.29
17,111,2.79
17,113,2.53
17,115,2.35
17,117,2.42
17,119,2.45
17,121,2.4
17,123,2.38
17,125,2.27
17,127,2.45
17,129,2.42
17,131,2.4
17,133,2.62
17,135,2.17
17,137,2.29
17,139,2.51
17,141,2.5
17,143,2.39
17,145,2.46
17,147,2.47
17,149,2.34
17,151,2.52
17,153,2.5
17,155,2.37
17,157,2.49
17,159,2.43
17,161,2.36
17,163,2.57
17,165,2.43
17,167,2.35
17,169,2.2
17,171,2.42
17,173,2.42
17,175,2.41
17,177,2.37
17,179,2.45
17,181,2.53
17,183,2.47
17,185,2.37
17,187,2.42
17,189,2.46
17,191,2.34
17,193,2.28
17,195,2.4
17,197,3.02
17,199,2.43
17,201,2.51
17,203,2.65
18,1,2.8
18,3,2.55
18,5,2.57
18,7,2.52
18,9,2.35
18,11,2.61
18,13,2.44
18,15,2.55
18,17,2.57
18,19,2.59
18,21,2.54
18,23,2.76
18,25,2.56
18,27,2.78
18,29,2.63
18,31,2.57
18,33,2.58
18,35,2.4
18,37,2.55
18,39,2.8
18,41,2.5
18,43,2.57
18,45,2.4
18,47,2.57
18,49,2.55
18,51,2.51
18,53,2.39
18,55,2.54
18,57,2.73
18,59,2.68
18,61,2.67
18,63,2.76
18,65,2.54
18,67,2.37
18,69,2.44
18,71,2.57
18,73,2.71
18,75,2.58
18,77,2.37
18,79,2.62
18,81,2.69
18,83,2.4
18,85,2.58
18,87,3.22
18,89,2.65
18,91,2.38
18,93,2.44
18,95,2.41
18,97,2.5
18,99,2.67
18,101,2.42
18,103,2.6
18,105,2.36
18,107,2.52
18,109,2.68
18,111,2.56
18,113,2.58
18,115,2.5
